Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"OA","Séries temporelles annuelles","AFG","Afghanistan","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","27294.031","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","ZAF","Afrique du Sud","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","50412.129","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","ALB","Albanie","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","2991.651","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","DZA","Algérie","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","34860.715","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","DEU","Allemagne","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","81130.944","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","AND","Andorre","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","83.861","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","AGO","Angola","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","21759.42","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","AIA","Anguilla","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","13.36","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","ATG","Antigua-et-Barbuda","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","92.478","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","ANT","Antilles néerlandaises (ex)","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","190.32","Fa","",""
"OA","Séries temporelles annuelles","SAU","Arabie saoudite","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","25940.77","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","ARG","Argentine","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","40382.389","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","ARM","Arménie","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","2908.22","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","ABW","Aruba","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","101.353","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","AUS","Australie","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","21342.493","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","AUT","Autriche","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","8338.453","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","AZE","Azerbaïdjan","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","8821.908","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","BHS","Bahamas","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","348.676","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","BHR","Bahreïn","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","1114.59","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","BGD","Bangladesh","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","148805.814","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","BRB","Barbade","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","277.319","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","BLR","Bélarus","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","9507.331","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","BEL","Belgique","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","10779.173","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","BLZ","Belize","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","306.165","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","BEN","Bénin","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","8696.916","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","BMU","Bermudes","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","64.625","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","BTN","Bhoutan","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","700.95","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","BOL","Bolivie (État plurinational de)","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","9599.855","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","BIH","Bosnie-Herzégovine","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","3763.599","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","BWA","Botswana","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","1946.351","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
